trade_date,return,positions,stops,cum_return,equity
2026-05-12,-0.04886747247638358,20,8,0.46062233878735415,46062.23387873542
2026-05-13,-0.05487589046214338,20,5,0.435345277779643,43534.5277779643
2026-05-14,-0.02233018866335651,20,6,0.4256239355931222,42562.39355931222
2026-05-15,-0.009451887815980931,20,5,0.4216009859020997,42160.09859020997
2026-05-18,-0.0375028938393487,20,9,0.4057897288852485,40578.97288852485
2026-05-19,-0.028855296004500992,20,8,0.39408054614267846,39408.05461426784
2026-05-20,-0.05731331602636889,20,9,0.37149448326175905,37149.4483261759
2026-05-21,0.005441203158934588,20,5,0.3735158602176097,37351.586021760966
2026-05-22,-0.015471937892104775,20,8,0.3677368460266067,36773.68460266067
2026-05-25,-0.05182276682409381,20,6,0.3486797052023422,34867.97052023422
2026-05-26,0.0,20,0,0.3486797052023422,34867.97052023422
2026-05-27,0.0,20,0,0.3486797052023422,34867.97052023422
2026-05-28,0.0,20,0,0.3486797052023422,34867.97052023422
2026-05-29,0.0,20,0,0.3486797052023422,34867.97052023422
2026-06-01,0.0,20,0,0.3486797052023422,34867.97052023422
2026-06-02,0.0,20,0,0.3486797052023422,34867.97052023422
2026-06-03,0.0,20,0,0.3486797052023422,34867.97052023422
2026-06-04,0.0,20,0,0.3486797052023422,34867.97052023422
2026-06-05,0.0,20,0,0.3486797052023422,34867.97052023422
2026-06-08,0.0,20,0,0.3486797052023422,34867.97052023422
