trade_date,return,positions,stops,cum_return,equity
2023-01-04,-0.0032318549389791025,30,0,0.9967681450610208,99676.81450610209
2023-01-05,-0.008701136751376359,30,0,0.9880951291214292,98809.51291214292
2023-01-06,0.025854717049936384,30,0,1.013642049103284,101364.20491032841
2023-01-09,0.014657701969171726,30,0,1.0284997121624606,102849.97121624606
2023-01-10,0.010151485536082038,30,0,1.0389405121143425,103894.05121143424
2023-01-11,0.0031954662116602693,30,0,1.0422604114167289,104226.04114167289
2023-01-12,0.003850565047703521,30,0,1.046273702927535,104627.3702927535
2023-01-13,0.0140383568668018,30,0,1.060961666549582,106096.1666549582
2023-01-16,0.023095936751653588,30,0,1.0854655700961402,108546.55700961401
2023-01-17,0.024760038543700295,30,0,1.1123417394495803,111234.17394495802
2023-01-18,0.044777906524111837,30,0,1.1621500738815216,116215.00738815215
2023-01-19,0.027240229204636122,30,0,1.193807308264239,119380.73082642391
2023-01-20,0.013819780429105134,30,0,1.210305463139112,121030.5463139112
2023-01-30,0.014016514422099524,30,1,1.2272697271183473,122726.97271183472
2023-01-31,0.00506093220011737,30,0,1.2334808559985497,123348.08559985497
2023-02-01,-0.019751425257334965,30,3,1.2091178510649407,120911.78510649408
2023-02-02,-0.009638803156758769,30,6,1.1974634021052026,119746.34021052027
2023-02-03,-0.0016166955359678123,30,4,1.1955274683685344,119552.74683685345
2023-02-06,0.02165659882173975,30,0,1.2214185271313618,122141.85271313618
2023-02-07,0.01821040064865231,30,3,1.2436610478701107,124366.10478701106
2023-02-08,0.014428456732893453,30,3,1.2616051574896894,126160.51574896894
2023-02-09,-0.0007675924910503803,30,4,1.2606367588441298,126063.67588441298
2023-02-10,-0.023882627302591407,30,8,1.2305294409687086,123052.94409687087
2023-02-13,-0.012755508704243997,30,11,1.2148334119736037,121483.34119736038
2023-02-14,-0.006151505666061544,30,10,1.2073603573565272,120736.03573565272
2023-02-15,0.006366196873997894,30,5,1.2150466510893194,121504.66510893193
2023-02-16,-0.0010356106232862464,30,5,1.2137883358696628,121378.83358696628
2023-02-17,0.006074308905689722,30,5,1.2211612611678584,122116.12611678583
2023-02-20,-0.022648729742296914,30,9,1.1935035097919051,119350.35097919051
2023-02-21,-0.007117763957070533,30,3,1.185008433527271,118500.8433527271
2023-02-22,0.0003655975487213266,30,2,1.1854416697057828,118544.16697057828
2023-02-23,-0.01068345340276925,30,6,1.1727770588657802,117277.70588657803
2023-02-24,0.016558034001602846,30,1,1.1921959412827796,119219.59412827797
2023-02-27,0.007650163045090297,30,3,1.2013164346152878,120131.64346152879
2023-02-28,-0.003281302500143472,30,6,1.1973745519949213,119737.45519949212
2023-03-01,-0.007926359469373942,30,10,1.187883730876329,118788.3730876329
2023-03-02,-0.0017414053578641527,30,7,1.1858151437828612,118581.51437828613
2023-03-03,-0.03171264636275304,30,16,1.1482098074764782,114820.98074764782
2023-03-06,-0.013842682082242567,30,10,1.1323155041478683,113231.55041478683
2023-03-07,-0.018089755643498552,30,9,1.1118321933664885,111183.21933664885
2023-03-08,0.001891272534816868,30,5,1.1139349710571278,111393.49710571278
2023-03-09,-0.00646643743913233,30,5,1.1067317802555252,110673.17802555252
2023-03-10,0.027703408869982623,30,7,1.1373920232733477,113739.20232733476
2023-03-13,0.009884788507953065,30,9,1.1486349028740377,114863.49028740377
2023-03-14,0.02232411773525874,30,5,1.174277163680625,117427.71636806251
2023-03-15,-0.023844983222684326,30,14,1.1462765444138792,114627.65444138792
2023-03-16,-0.015313938985964622,30,9,1.1287225353516825,112872.25353516826
2023-03-17,-0.020063907505157002,30,7,1.1060759508034002,110607.59508034002
2023-03-20,-0.012675101253787891,30,4,1.0920563261325873,109205.63261325873
2023-03-21,-0.002062490187931583,30,5,1.0898039706752702,108980.39706752702
2023-03-22,-0.0164834211643111,30,6,1.071840272840091,107184.0272840091
2023-03-23,-0.005330252463949618,30,5,1.0661270935848248,106612.70935848248
2023-03-24,-0.017980602360064938,30,9,1.0469574862497844,104695.74862497844
2023-03-27,0.005112391112251206,30,8,1.0523099423973927,105230.99423973927
2023-03-28,0.0184344689021505,30,5,1.0717087173059412,107170.87173059412
2023-03-29,0.010382338498878714,30,3,1.0828355599812107,108283.55599812107
2023-03-30,0.011152141468919689,30,4,1.094911495333698,109491.1495333698
2023-03-31,0.01100156954000322,30,2,1.1069572402897605,110695.72402897605
2023-04-03,0.0008841113429255272,30,5,1.1079359137420342,110793.59137420342
2023-04-04,0.014390490540920486,30,3,1.123879655028685,112387.9655028685
2023-04-06,-0.0013535569666361527,30,3,1.12235841989196,112235.84198919601
2023-04-07,0.010453701187931786,30,3,1.1340912194392698,113409.12194392698
2023-04-10,0.04207363635127505,30,1,1.1818065609951318,118180.65609951319
2023-04-11,0.03282303484333477,30,2,1.2205970389247567,122059.70389247566
2023-04-12,0.0017591176865105807,30,5,1.2227442127640318,122274.42127640318
2023-04-13,-0.000142103876088658,30,4,1.222570456071933,122257.0456071933
2023-04-14,-0.015014360149277813,30,5,1.2042143429366021,120421.43429366022
2023-04-17,-0.020515032408328176,30,7,1.179509846664684,117950.9846664684
2023-04-18,-0.000980115825010386,30,5,1.1783537903982124,117835.37903982124
2023-04-19,0.009049249194037663,30,10,1.1890170074862647,118901.70074862648
2023-04-20,-0.024248401864647672,30,10,1.160185245264837,116018.52452648368
2023-04-21,0.018373441316055925,30,5,1.1815018407844644,118150.18407844644
2023-04-24,0.07873947955163071,30,2,1.274532680817127,127453.2680817127
2023-04-25,0.0643240596836415,30,7,1.3565157970467592,135651.5797046759
2023-04-26,0.07926563436215352,30,4,1.464040882221953,146404.0882221953
2023-04-27,0.05250115481843059,30,6,1.5409047192399996,154090.47192399995
2023-04-28,0.025444709308010696,30,5,1.5801125918924035,158011.25918924034
2023-05-04,-0.006373132088271557,30,10,1.570042325629932,157004.23256299322
2023-05-05,0.006017879837233675,30,5,1.5794906516849438,157949.0651684944
2023-05-08,-0.026511843811288394,30,12,1.5376154422260826,153761.54422260827
2023-05-09,-0.03971325426053776,30,14,1.476551729214029,147655.1729214029
2023-05-10,-0.021181951289277533,30,9,1.445275482409719,144527.5482409719
2023-05-11,-0.024595855378991314,30,7,1.4097276956615676,140972.76956615676
2023-05-12,-0.022516293130620754,30,5,1.3779858536316973,137798.58536316972
2023-05-15,-0.006617912925253588,30,2,1.3688664632401315,136886.64632401316
2023-05-16,-0.0075610902920804045,30,2,1.358516340313772,135851.6340313772
2023-05-17,-0.03863631320982265,30,5,1.3060282774887473,130602.82774887473
2023-05-18,-0.049116660479517335,30,14,1.2418805300066835,124188.05300066835
2023-05-19,-0.006953095245483846,30,5,1.2332456163980352,123324.56163980352
2023-05-22,-0.011427703821463464,30,6,1.2191524507547205,121915.24507547205
2023-05-23,-0.005114094057553428,30,4,1.212917590451064,121291.7590451064
2023-05-24,0.010448306250461432,30,3,1.2255905248926686,122559.05248926686
2023-05-25,-0.006494993776044215,30,6,1.217630322061512,121763.03220615118
2023-05-26,0.0008939531767656346,30,3,1.218718826556045,121871.8826556045
2023-05-29,-0.011079081801986064,30,3,1.20521654098301,120521.654098301
2023-05-30,-0.022521040976480725,30,6,1.1780738098779993,117807.38098779993
2023-05-31,-0.002644593520763091,30,5,1.1749582835134151,117495.82835134151
2023-06-01,-0.025886176693818815,30,6,1.144543105778521,114454.3105778521
2023-06-02,-0.009255869147496647,30,8,1.1339493645577654,113394.93645577654
2023-06-05,-0.004793884418503051,30,5,1.1285133423676406,112851.33423676406
2023-06-06,0.026434080930717297,30,3,1.158344555391181,115834.4555391181
2023-06-07,0.0028171730491738565,30,1,1.1616078124542866,116160.78124542866
2023-06-08,-0.0038117523891548323,30,5,1.157180051099903,115718.0051099903
2023-06-09,-0.01663543889359199,30,5,1.137929853070947,113792.9853070947
2023-06-12,-0.013160429108847623,30,3,1.1229542079087653,112295.42079087654
2023-06-13,-0.010117519309311459,30,3,1.1115926970267758,111159.26970267757
2023-06-14,-0.037303483789190676,30,5,1.0701264168730547,107012.64168730547
2023-06-15,-0.04390714598692549,30,10,1.023140220062944,102314.0220062944
2023-06-16,-0.019201123167139695,30,9,1.003494778680261,100349.47786802611
