trade_date,ic_winner_rate,ic_chips_peak,ic_net_main,ic_pct_chg,sample_size
20260105,,,0.012768165214388184,0.07792615471011043,1650
20260106,,,-0.013721346828617823,-0.056715851441767516,1651
20260107,,,0.012374966059502565,-0.010656862245982652,1652
20260108,,,-0.018246505462274073,-0.18603581910173955,1652
20260109,,,0.006208647034821142,-0.1047372171412389,1652
20260112,,,0.016567757270844738,-0.13951325822615995,1653
20260113,,,0.005090987809425402,0.26196050932794657,1650
20260114,,,0.011842115703133232,0.09092113593486827,1651
20260115,,,-0.004983065298677223,-0.14839657373972498,1652
20260116,,,0.023191922257150867,-0.047994332286400376,1652
20260119,,,0.03380911239720013,0.10753099721091817,1653
20260120,,,-0.04844867779843497,-0.1118148992505211,1654
20260121,,,0.010448168127620252,-0.05080125140382015,1653
20260122,,,0.016152639670598577,0.06425630913397297,1653
20260123,,,0.0060792614755482205,-0.21016201428316503,1654
20260126,,,-0.0015597752863447216,-0.1335552031019572,1652
20260127,,,0.0437974402690333,0.12891555177912062,1653
20260128,,,-0.0004189503952088385,0.12733166876703886,1653
20260129,,,-0.0015966775149738822,0.215275656750291,1653
20260130,,,0.009040899816205079,0.11524017429923708,1653
20260202,,,0.005070230819821164,-0.06795045658468579,1652
20260203,,,-0.009810362900167902,-0.05940320549393774,1652
20260204,,,-0.02619680907528359,0.11377770687123974,1653
20260205,,,-0.011608291553561145,-0.3477235662705183,1653
20260206,,,-0.04076247702247672,-0.039622187670721155,1653
20260209,,,0.015506174737420086,0.015539702747528769,1655
20260210,,,-0.004205057733180264,-0.2082101017314241,1656
20260211,,,-0.012436325271962829,0.07801529763916931,1656
20260212,,,-0.02845361302746962,0.02170380975294496,1656
20260213,,,0.012949344163778537,-0.2777214699487883,1655
20260224,,,0.014417751441135152,-0.01255866605422784,1654
20260225,,,0.056558936092996705,0.04321451888526562,1652
20260226,,,0.05934735158972309,0.12611085615422812,1651
20260227,,,-0.04376951416340371,-0.036484875998646915,1651
20260302,,,0.010623295350574729,0.03814281436561654,1650
20260303,,,0.024124494834280325,-0.313698958167681,1651
20260304,,,0.010387905972390149,-0.0667148337972583,1651
20260305,,,-0.008686539967899861,-0.15991637206111053,1651
20260306,,,0.019251875487009105,0.11527602699630436,1651
20260309,,,-0.03404813757342428,-0.06301796320296049,1653
20260310,,,0.02156571983916742,-0.15631698940827732,1653
20260311,,,0.02598035916160308,-0.2336637475341627,1654
20260312,,,-0.021663870941332673,0.3054966813352673,1654
20260313,,,-0.004886483838062001,0.10246806087542891,1654
20260316,,,0.0260186019095621,-0.17471795641219964,1655
20260317,,,-0.020537865061639266,-0.12370527077359107,1655
20260318,,,-0.01064753418557513,0.1400426854421662,1655
20260319,,,-0.022140449445850377,0.18207128181172072,1654
20260320,,,0.046003786473491015,-0.22586018346818718,1653
20260323,,,-0.008155012690477212,-0.17048343540337108,1653
20260324,,,0.008697647444781128,-0.048001343433907454,1653
20260325,,,-0.00634452393682419,-0.047004803294170096,1653
20260326,,,0.0015694491952620451,0.3137839047218466,1652
20260327,,,0.0028038931690759846,-0.11411648226684647,1652
20260330,,,-0.01723563116490929,0.07949137073754312,1650
20260331,,,-0.008348254161596222,-0.06097420312638498,1650
20260401,,,0.014250787616793931,0.06806975787121686,1650
20260402,,,-0.015989855848655147,-0.16639218169149605,1650
20260403,,,0.007515786613871667,-0.15211886706084088,1650
20260407,,,-0.05854710830293959,-0.19053025019405156,1650
20260408,,,0.007085105240849112,-0.0824832091873098,1652
