trade_date,return,positions,stops,cum_return,equity
2023-05-11,-0.022910164856463022,20,0,0.977089835143537,97708.98351435369
2023-05-24,0.0024048729920824906,20,0,0.979439612098912,97943.96120989119
2023-05-25,-0.012456298737907451,20,0,0.9672394196948677,96723.94196948677
2023-05-26,-0.005368799499836896,20,0,0.9620465051821874,96204.65051821874
2023-05-29,-0.005520596464488175,20,0,0.9567354346470054,95673.54346470055
2023-05-30,-0.02947957022770533,20,0,0.9285312852119948,92853.12852119948
2023-06-13,0.005892842871518422,20,0,0.934002974177038,93400.2974177038
2023-06-15,-0.0459337504984227,20,0,0.8911007145964052,89110.07145964052
2023-06-16,-0.012084763408594157,20,0,0.8803319732872785,88033.19732872785
2023-06-19,-0.04251679352357179,20,0,0.8429030805468248,84290.30805468248
2023-06-20,-0.02279709606218124,20,4,0.8236873380484904,82368.73380484903
2023-06-21,0.008894213949172686,20,1,0.8310133894603182,83101.33894603183
2023-06-27,0.013568547859722519,20,0,0.8422890344072808,84228.90344072807
2023-06-28,0.011468512953925336,20,0,0.8519488371093299,85194.88371093299
2023-06-29,0.006587856346009951,20,1,0.8575613536623564,85756.13536623564
2023-06-30,0.003781999782135831,20,1,0.8608046505150755,86080.46505150755
2023-07-03,-0.006665833829064149,20,1,0.8550666697554563,85506.66697554562
2023-07-04,-0.004001462335799432,20,0,0.8516451526818324,85164.51526818324
2023-07-05,-0.011221442214655042,20,3,0.8420884658136222,84208.84658136222
2023-07-06,-0.0032602626487383602,20,5,0.8393430362415967,83934.30362415967
2023-07-07,-0.019452147524008024,20,3,0.8230160116773763,82301.60116773762
2023-07-10,-0.0029008401708099816,20,4,0.8206285737694827,82062.85737694828
2023-07-11,5.1356856515566426e-05,20,4,0.8206707186733984,82067.07186733984
2023-07-12,0.012024108973695602,20,2,0.8305385528262484,83053.85528262485
2023-07-13,0.004243179533992014,20,2,0.8340626770157922,83406.26770157921
2023-07-14,0.00843868847005727,20,3,0.8411010721116305,84110.10721116305
2023-07-17,-0.003952682254601048,20,3,0.8377764668295691,83777.64668295691
2023-07-18,0.01110425119041995,20,3,0.8470793471586672,84707.93471586672
2023-07-19,0.0036363455929128764,20,3,0.8501596204095552,85015.96204095552
2023-07-20,0.033440683573839884,20,1,0.8785895392629269,87858.9539262927
2023-07-21,0.04803684529122186,20,1,0.9207942090349861,92079.42090349861
2023-07-24,0.06864102333728508,20,1,0.9839984658261937,98399.84658261937
2023-07-25,0.02492305386802802,20,0,1.0085227125960368,100852.27125960367
2023-07-26,0.01828074481349633,20,0,1.02695925894362,102695.92589436201
2023-07-27,0.03528922042333648,20,0,1.0631998505982676,106319.98505982677
2023-07-28,-0.002067374562531443,20,2,1.0610018182722534,106100.18182722534
2023-07-31,-0.011998064237602524,20,3,1.0482718503004098,104827.18503004099
2023-08-01,-0.018998932197776385,20,6,1.0283558044917147,102835.58044917147
2023-08-02,-0.015495401068786174,20,2,1.0124210188597014,101242.10188597014
2023-08-03,-0.015224258872235724,20,6,0.9970076591808886,99700.76591808886
2023-08-04,-0.03096183259826745,20,9,0.9661384749381394,96613.84749381394
2023-08-07,-0.02446443005788416,20,12,0.9425024477917845,94250.24477917845
2023-08-08,-0.034343392666650915,20,13,0.9101337161379917,91013.37161379917
2023-08-09,-0.022503237742388667,20,6,0.8896527607463747,88965.27607463747
2023-08-10,-0.0226846920696742,20,11,0.8694712618199076,86947.12618199077
2023-09-19,-0.018199913799494837,20,5,0.8536469598036474,85364.69598036473
2023-09-20,-0.014627027935794273,20,5,0.8411606418752935,84116.06418752935
2023-09-21,0.00046628667975625595,20,1,0.8415528638781351,84155.28638781351
2023-09-22,0.0025104328635175976,20,4,0.843665525844002,84366.5525844002
2023-09-25,-0.008543094750786434,20,3,0.8364580113187446,83645.80113187447
2023-09-28,-0.014835452050701636,20,3,0.8240487785994001,82404.87785994001
2023-11-01,-0.0008812261965623569,20,2,0.823322605228453,82332.2605228453
2023-11-06,0.012679736011428643,20,1,0.8337621185149914,83376.21185149913
2023-11-07,0.00415797485426202,20,1,0.8372288804382129,83722.88804382128
2023-11-08,0.004308731220454637,20,0,0.8408362746540232,84083.62746540233
2023-11-09,0.001295909817896218,20,0,0.8419259226375906,84192.59226375906
2023-11-10,0.020239153747251853,20,0,0.8589657908296497,85896.57908296498
2023-11-13,0.015747923325252655,20,0,0.8724927182426501,87249.271824265
2023-11-14,0.003458848683681648,20,0,0.8755105385326656,87551.05385326655
2023-11-15,-0.007646093341691329,20,0,0.8688163032334104,86881.63032334104
2023-11-16,0.008767205020347679,20,0,0.8764333938888784,87643.33938888785
2023-11-17,0.009707476686216715,20,1,0.8849413506270765,88494.13506270765
2023-11-20,0.008555557505747607,20,1,0.8925125172415804,89251.25172415805
2023-11-21,0.007259375746227576,20,0,0.8989916009624485,89899.16009624484
2023-11-22,0.008103151478539877,20,1,0.9062762660829823,90627.62660829823
2023-11-23,0.011242722477848438,20,1,0.916465278630814,91646.5278630814
2023-11-24,0.0036567708954423016,20,3,0.9198165821883945,91981.65821883945
2023-11-27,-3.474197593504313e-05,20,3,0.9197846259428315,91978.46259428315
2023-11-28,-0.02294732514998608,20,7,0.898678029063363,89867.8029063363
2023-11-29,-0.01562695263416026,20,7,0.8846344300698293,88463.44300698294
2023-11-30,-0.005673161310841196,20,7,0.8796157562469191,87961.57562469192
2023-12-01,-0.003759481017373406,20,6,0.8763088575087262,87630.88575087262
2023-12-04,0.010631575406580307,20,8,0.8856254012067845,88562.54012067844
2023-12-05,0.015750018578779217,20,3,0.89957401772963,89957.401772963
2023-12-06,0.009512757526826416,20,1,0.9081314472377249,90813.1447237725
2023-12-07,0.004049760825841275,20,2,0.9118091623974627,91180.91623974626
2023-12-08,-0.005876633977446655,20,2,0.9064507936927706,90645.07936927705
2023-12-12,-0.0264078682167802,20,4,0.8825133605879361,88251.3360587936
2024-02-27,0.0244503175766982,20,1,0.9040910925199902,90409.10925199902
2024-02-28,0.024439308139329922,20,0,0.9261864533161097,92618.64533161097
2024-02-29,-0.001787436970952455,20,1,0.9245309534074572,92453.09534074571
2024-03-06,-0.008120335578086474,20,1,0.9170234518134605,91702.34518134604
2024-03-07,-0.018354047202235053,20,3,0.9001923600933196,90019.23600933196
2024-03-08,-0.0053206920354652186,20,4,0.8954027137725844,89540.27137725844
2024-03-11,0.009815668597726923,20,1,0.9041916900724813,90419.16900724813
2024-03-12,0.0025627500053922057,20,2,0.9065089073310901,90650.89073310902
2024-03-13,0.028682776058835707,20,0,0.9325100993154076,93251.00993154076
2024-03-14,0.025801554457846914,20,1,0.9565703094253863,95657.03094253864
2024-03-15,0.007253558884148243,20,3,0.9635088484916313,96350.88484916314
2024-03-18,-0.016036725105035964,20,2,0.9480573219521012,94805.73219521012
2024-03-19,-0.02425740035089175,20,5,0.9250599159379148,92505.99159379148
2024-03-20,-0.0311981533452082,20,1,0.8961997548269783,89619.97548269783
2024-03-21,-0.021934092057983717,20,3,0.876542426902261,87654.2426902261
2024-03-22,-0.009346426419213665,20,4,0.8683498876059,86834.98876059
2024-03-25,0.011829770082052738,20,2,0.8786222671270542,87862.22671270542
2024-03-26,0.012283263251039395,20,1,0.8894146157324009,88941.46157324009
2024-03-27,0.011776109145757236,20,3,0.8998884593230975,89988.84593230975
2024-03-28,0.023414207488365348,20,1,0.920958634426074,92095.8634426074
2024-03-29,0.023571460164485046,20,0,0.9426669741905866,94266.69741905866
2024-04-01,-0.012836420970170926,20,3,0.930566504075199,93056.6504075199
2024-04-02,0.009123280505391407,20,2,0.9390563233207985,93905.63233207984
2024-04-03,0.002411408436207951,20,4,0.9413207716609286,94132.07716609286
2024-04-08,0.015873131574668176,20,4,0.9562624801234707,95626.24801234707
2024-04-09,0.005941993554417652,20,2,0.9619445856166957,96194.45856166957
2024-04-10,0.04049615777475839,20,0,1.000899645326404,100089.96453264041
2024-04-11,0.00984709997883057,20,2,1.010755604202709,101075.56042027091
